symbol,current_price,price_change_24h,volume_24h_usd,volume_category,rsi,volatility,opportunity_score,volume_ratio,price_position,trades_24h,high_24h,low_24h
XRPUSDT,2.783,-6.604470098664339,3094447.16573,mid_cap,25.592705167173264,0.7962245023676762,40.20505866793536,2.4410117335870725,17.79483600837394,4042,3.0186,2.732
BTCUSDT,112682.43,-0.8652461529366051,2047822.85543,mid_cap,36.588587610491295,0.3074994373901604,18.0,0.48062593391813707,35.45422794464638,1528,114050.6,111931.24
ETHUSDT,3399.98,-3.3137969179669713,1047584.379122,mid_cap,30.642977309096935,0.6177050128109833,18.0,0.2738677942321336,23.393932634396545,1992,3537.35,3358.03
SOLUSDT,159.12,-3.4466019417475735,281874.14856,small_cap,38.64090606262494,0.734569789653472,17.0,0.43944387271130175,33.55048859934854,861,165.24,156.03
HBARUSDT,0.23049,-4.811266209630793,261482.07218,small_cap,36.68214436471084,1.160398424555928,17.0,0.27454975698151757,23.789020452099052,1049,0.24478,0.22607
PENGUUSDT,0.033019,-6.16669982096677,188920.009305,small_cap,44.00804082263802,1.7761116551071752,17.0,0.2680541044593497,41.54107924161406,299,0.03646,0.03131
DOGEUSDT,0.19235,-5.096704164199728,172560.67236,small_cap,35.3475692866879,0.9494287235133255,32.640163492461944,3.1280326984923885,24.14752957550454,1673,0.20338,0.18888
ADAUSDT,0.6954,-3.617463617463623,160335.59527,small_cap,38.28756058158321,0.8454979569367754,26.741396678196764,1.9741396678196763,24.647887323943767,501,0.7277,0.6849
XLMUSDT,0.367,-4.177545691906004,156097.8561,small_cap,34.447300771208205,0.9430307688604412,22.0,0.10916346628333584,18.374558303886868,423,0.3908,0.3618
BNBUSDT,738.33,-3.4041996467586766,129707.8517,small_cap,33.31102186523893,0.6409871328907325,22.0,0.500062205634053,19.480519480519533,774,769.7,730.98
SUIUSDT,3.3489,-4.415458385660465,128648.81669,small_cap,39.835164835164825,1.0394406244997938,17.0,0.2442788338601297,29.757785467127995,440,3.5316,3.2715
CRVUSDT,0.8507,-0.12913829537449795,108242.04314,small_cap,27.80979827089338,1.5761743698624104,27.0,0.06286052943500592,0.0,263,0.9439,0.8383
BONKUSDT,2.502e-05,-2.3419203747072515,62689.08113342,micro_cap,46.3611859838275,1.6406424975027885,16.0,0.06383703361364028,45.744680851063876,923,2.604e-05,2.416e-05
ALGOUSDT,0.2304,-2.7027027027027084,58999.9823,micro_cap,37.00787401574801,1.2456042865396868,16.0,0.4756054838031623,36.180904522612984,233,0.2431,0.2232
APTUSDT,4.071,-7.350933090578071,56905.18211,micro_cap,31.893687707641206,1.0947479666051803,21.0,0.10726601211063146,0.46296296296270784,202,4.552,4.07
LINKUSDT,15.61,-3.2837670384138873,55229.8143,micro_cap,41.04477611940301,0.8745873608365419,29.03868102899998,2.607736205799996,22.368421052631575,348,16.35,15.44
LTCUSDT,105.84,-1.1025976452999409,50228.37299,micro_cap,45.86206896551728,0.7593143126717524,16.0,1.0295178668774827,29.131175468483928,525,110.0,104.13
ONEUSDT,0.00995,-0.5994005994005902,40634.856786,micro_cap,56.00000000000003,1.0928432180367824,16.0,0.003390281703913693,57.142857142857196,145,0.01016,0.00967
VETUSDT,0.02208,-3.115401491882419,33530.402033,micro_cap,37.5,0.979255835621371,16.0,0.10546401110476165,24.81751824817519,309,0.02311,0.02174
SHIBUSDT,1.183e-05,-2.79375513557929,33225.18111266,micro_cap,42.60869565217389,0.8035777870210249,16.0,0.10774302626021023,32.25806451612904,262,1.225e-05,1.163e-05
XDCUSDT,0.089075,-6.57121879588839,30489.910768,micro_cap,14.600280504908852,0.7848424865253513,32.230592224778974,1.6230592224778977,4.421458269952392,538,0.0985,0.088639
POLUSDT,0.1937,-2.614379084967311,27800.84906,micro_cap,42.138364779874195,0.9476686352522937,16.0,0.3462715766217777,32.67326732673265,111,0.2005,0.1904
VIRTUALUSDT,1.155,-8.202193609918929,25711.56414,micro_cap,42.33971690258119,1.5117428408190219,21.0,0.0,12.98482293423278,90,1.2303,1.1396
PEPEUSDT,1.016e-05,-3.6053130929791455,25496.21853794,micro_cap,41.74757281553402,0.9997795413768129,16.0,0.5185541958983001,39.18918918918906,502,1.061e-05,9.87e-06
HYPEUSDT,36.92,-2.457067371202115,23720.9235,micro_cap,30.501089324618732,1.3743505723495197,16.0,0.002821068997078626,42.07119741100333,161,38.71,35.62
FLOKIUSDT,0.00010201,-3.527520332892009,22826.78816794,micro_cap,42.790262172284635,1.347004997536937,16.0,0.07595907800802618,34.98845265588902,162,0.00010783,9.898e-05
DOTUSDT,3.508,-2.2023975466964107,22500.24587,micro_cap,42.786069651741336,0.9985720991305633,16.0,0.0,39.68253968253976,68,3.622,3.433
1000REKTUSDT,0.00102717,4.218792804310123,18839.70507302,micro_cap,67.3196018165971,2.3206216050793356,39.437585608620246,0.1753039514567116,60.71145618760894,74,0.00107676,0.00095054
IOTAUSDT,0.176,-2.8161236885698604,18483.5306,micro_cap,42.051282051282,1.0798995185462044,16.0,0.858220648830596,39.285714285714214,196,0.1828,0.1716
WIFUSDT,0.86,-2.050113895216399,16151.66692,micro_cap,48.611111111111114,1.3643725962031152,16.0,0.024751141659313695,55.223880597014926,72,0.89,0.823
ARBUSDT,0.3699,-2.9897718332021928,15534.01305,micro_cap,49.58904109589046,1.2376816578968775,16.0,0.03147510962637614,36.31578947368427,70,0.382,0.363
BRETTUSDT,0.0473,-5.046773999277299,14731.122235,micro_cap,24.9400095984643,1.4643052852636773,26.0,0.0,1.495314553180066,62,0.15,0.045741
FILUSDT,2.273,-1.9836136265631632,14555.09902,micro_cap,36.53846153846157,0.9229635788818991,16.0,0.0,54.83870967741954,24,2.319,2.222
OPUSDT,0.632,-3.215926493108734,14332.50953,micro_cap,48.38709677419355,1.313359225373803,16.0,0.1146853913413997,43.24324324324324,153,0.653,0.616
AAVEUSDT,249.75,-3.0736989172197027,14190.39148,micro_cap,45.54189085318988,0.8908957369284459,16.0,0.5997854844476225,38.86384129846719,169,258.15,245.44
MAGICUSDT,0.1642,-13.07570142932769,13730.28579,micro_cap,29.764705882352942,2.5639512391790977,41.0,0.0,9.158415841584182,130,0.2009,0.1605
VTHOUSDT,0.001787,-2.9858849077090244,12687.540587,micro_cap,45.652173913043484,0.9817855932201734,16.0,0.0,21.24999999999984,56,0.00185,0.00177
SPXUSDT,1.513,-22.813998571574334,12128.62934,micro_cap,46.94153430212909,2.366982271632149,36.0,0.0,2.583979328165377,64,1.9602,1.503
AVAXUSDT,20.65,-4.838709677419361,12025.2646,micro_cap,30.813953488372192,0.8517837930884715,21.0,0.6899973607812087,0.0,135,21.72,20.65
TRUMPUSDT,8.64,-1.1441647597253968,11986.55269,micro_cap,44.642857142857245,0.7323582875201345,16.0,0.0,52.631578947368595,58,8.82,8.44
ENAUSDT,0.5171,-10.427853802182574,11892.652166,micro_cap,35.087719298245645,2.4834498316344726,36.0,0.0,0.3658536585365452,110,0.5988,0.5168
TFUELUSDT,0.0353,-11.150264283916444,11388.2223,micro_cap,27.777777777777672,1.8428357864382363,26.0,1.264408330980224,0.0,195,0.04045,0.0353
ZILUSDT,0.01054,-1.2183692596063667,11196.076702,micro_cap,52.17391304347826,1.0997719919936508,16.0,0.3255052351953677,71.27659574468092,216,0.01086,0.00987
LAYERUSDT,0.5773,-5.360655737704912,10835.058589,micro_cap,0.0,1.7247289160495771,37.20781871835828,2.2415637436716573,0.0,13,0.5958,0.5773
ONDOUSDT,0.8659,-13.41,9285.50978,nano_cap,0.07446016381234699,1.722223979387328,43.25097358703767,3.6501947174075338,0.0,42,1.0,0.8659
THETAUSDT,0.731,-3.562005277044855,8266.4419,nano_cap,50.0,1.0978131173967165,15.0,0.0,41.86046511627907,120,0.759,0.713
AIXBTUSDT,0.114,-3.4716342082980467,8065.5077,nano_cap,19.191919191919283,1.0322799131649356,20.0,0.0,22.784810126582393,18,0.1201,0.1122
BCHUSDT,519.8,-3.669384729429215,7881.7135,nano_cap,28.571428571428527,0.8312741864078294,45.0,5.710450365796361,16.90140845070408,141,543.4,515.0
NEARUSDT,2.326,-4.6330463304633085,7414.1969,nano_cap,40.55118110236224,1.1726104397908013,20.0,0.020905923344947737,9.183673469387868,197,2.504,2.308
JTOUSDT,1.645,-2.083333333333326,6469.2025,nano_cap,35.36585365853654,0.9490929580846937,15.0,0.0,45.312499999999986,8,1.683,1.616
FETUSDT,0.612,-4.375000000000007,6373.5258,nano_cap,38.46153846153846,0.9848485090735316,20.0,0.20626895854398383,18.421052631578945,206,0.643,0.605
KDAUSDT,0.3737,-5.128205128205132,4128.929646,nano_cap,42.70072992700726,1.2175567690926787,15.0,0.013259509784873664,20.879120879120823,58,0.3953,0.368
ATOMUSDT,4.141,-0.7668344116942283,4036.68572,nano_cap,58.75486381322957,1.1896088894731913,15.0,1.247662117088543,67.40331491712699,90,4.2,4.019
GRTUSDT,0.0874,-5.615550755939525,3911.1671,nano_cap,39.28571428571442,1.1675907862523547,15.0,0.0,34.615384615384734,85,0.0937,0.0856
QNTUSDT,105.65,-6.60360678925035,3617.93912,nano_cap,18.741058655221792,1.3664014427135394,25.0,0.31348112642300785,0.0,37,113.12,105.65
ICPUSDT,4.896,-1.5681544028950611,3534.13899,nano_cap,44.44444444444448,1.1009602877238107,20.0,0.0,14.871794871794805,37,5.072,4.867
UNIUSDT,8.804,-3.581206877669474,3459.11609,nano_cap,43.09723889555821,1.0896072556734837,15.0,0.9881511058103661,29.05569007263945,61,9.165,8.684
GALAUSDT,0.01464,-3.1105228325612133,3310.67824,nano_cap,44.85294117647062,1.0803225413367163,35.0,10.82567896858801,33.3333333333334,47,0.01522,0.01435
ONTUSDT,0.1266,-2.163833075734156,3250.6607,nano_cap,45.06172839506167,1.6232726679455893,26.089622641509433,2.2179245283018867,30.555555555555475,55,0.1327,0.1244
RENDERUSDT,3.402,-4.865771812080533,3200.36394,nano_cap,40.5633802816902,1.1158940945557467,15.0,0.3096843567284213,21.99170124481328,144,3.59,3.349
DGBUSDT,0.00797,-0.9937888198757738,3100.380057,nano_cap,46.296296296296276,1.0938696835405193,15.0,3.1062532761265024e-05,33.898305084745736,92,0.00836,0.00777
FARTCOINUSDT,0.9319,-1.313142009954471,2901.22294,nano_cap,17.72072636192857,4.173018709331395,35.0,0.4326501445415273,31.865042174320525,51,1.15,0.8299
PAXGUSDT,3368.0,0.0,2782.223317,nano_cap,54.46667857780956,0.2120682289048098,15.0,0.0,39.203765444204485,22,3399.0,3348.01
FORTUSDT,0.0674,-7.797537619699035,2740.1178,nano_cap,100.0,0.9422312653929994,0.0,0.0,100.0,124,0.0729,0.0625
RVNUSDT,0.01306,-3.187546330615265,2681.143303,nano_cap,46.896551724137936,1.0682777702585011,34.352069072271334,3.8704138144542677,54.639175257732035,172,0.01354,0.01253
ETCUSDT,19.26,-3.6518259129564634,2589.0195,nano_cap,35.91549295774654,0.8024240578873764,35.0,13.220019450886511,27.67857142857161,64,20.08,18.95
QTUMUSDT,2.043,7.131620346093337,2295.5254,nano_cap,0.0,1.9155271207346982,22.131620346093335,0.05836967460583696,88.2352941176472,28,2.061,1.908
FLUXUSDT,0.2057,-3.200000000000003,2292.064407,nano_cap,40.96916299559476,0.8900669614907226,15.0,0.0,47.26027397260266,147,0.2134,0.1988
SUSDT,0.2952,-3.8123167155425186,2285.77574,nano_cap,48.78048780487806,1.5306387994022046,15.0,0.2861739671995018,53.30882352941181,53,0.3079,0.2807
LOKAUSDT,0.25,66.66666666666667,2231.3484,nano_cap,50.02785515320335,10.656209189572765,44.34379081042724,0.21376135373895735,90.9090909090909,43,0.26,0.16
IMXUSDT,0.478,-4.016064257028118,2193.35777,nano_cap,40.0,1.0850993593321665,20.0,0.6616475960101105,0.0,106,0.501,0.478
LTOUSDT,0.0185,103.29670329670328,2163.6639,nano_cap,69.60352422907489,21.55704824581034,35.0,0.28433717208138637,100.0,38,0.0185,0.0096
DIAUSDT,0.8257,10.358192996525005,2118.22016,nano_cap,74.63054187192122,2.1787706625548884,25.358192996525005,0.0,100.0,9,0.8257,0.7651
ZENUSDT,7.23,-3.471295060080104,2104.0433,nano_cap,0.0,2.153001220690993,40.0,0.0,0.0,14,7.49,7.23
ICXUSDT,0.1232,-3.37254901960784,2085.76899,nano_cap,40.00000000000003,0.7953920876072693,24.055443440048723,1.9055443440048723,27.941176470588275,213,0.1281,0.1213
OCEANUSDT,0.3,-2.9126213592232997,2079.6655,nano_cap,50.277264325323465,4.555776733175861,35.0,0.0,1.1029411764705688,29,0.3538,0.2994
ACHUSDT,0.01944,-6.086956521739129,1734.67732,nano_cap,0.0,2.0111356613545075,40.0,0.36634823359769286,0.0,9,0.02072,0.01944
MANAUSDT,0.2638,-3.792851932895702,1698.9286,nano_cap,36.02484472049683,1.289046926484244,20.0,0.0,2.29007633587761,32,0.2766,0.2635
TURBOUSDT,0.004173,-4.769511638521218,1644.74747,nano_cap,38.64229765013051,1.4579733763024674,29.765243714091554,2.953048742818311,20.783132530120376,118,0.004436,0.004104
BLURUSDT,0.08,-21.568627450980383,1580.0164,nano_cap,0.0,1.5224923982856413,25.0,0.28335361285420524,0.0,6,0.084,0.08
LPTUSDT,5.761,-4.61920529801324,1565.2841,nano_cap,41.08053007135578,1.8104505805976205,20.0,0.0,0.3597122302159469,60,6.069,5.76
DASHUSDT,20.28,-0.04928536224739766,1462.43028,nano_cap,58.577405857740594,1.3368883760134362,35.0,19.95428203477141,78.7234042553193,76,20.58,19.17
XNOUSDT,0.893,1.2471655328798237,1378.64405,nano_cap,77.14285714285714,3.629673684560595,17.494331065759646,0.0,96.15384615384616,23,0.895,0.843
ENJUSDT,0.0812,-1.3365735115431376,1355.13641,nano_cap,45.522388059701484,3.3680838670813604,41.5629762665132,1.6562976266513205,0.0,57,0.0976,0.0812
NEOUSDT,5.7,-2.564102564102555,1162.6436,nano_cap,51.724137931034456,0.9432806440511395,35.0,14.044340723453908,66.66666666666683,51,5.85,5.58
POLYXUSDT,0.1281,-12.619372442019106,1145.80244,nano_cap,0.0,3.0654666414067666,40.0,0.0,0.0,12,0.1466,0.1281
SANTOSUSDT,2.2,0.0,1112.32,nano_cap,,4.389140968295359,20.0,0.0,50.0,4,2.2,2.2
JUPUSDT,0.4429,-2.936664475126005,1102.46471,nano_cap,54.70085470085464,2.10311322140704,30.0,0.0,27.901785714285737,38,0.4752,0.4304
MOODENGUSDT,0.1535,-6.11620795107034,1057.71261,nano_cap,21.910112359550595,1.8203813404118092,25.0,0.0,10.714285714285758,8,0.1635,0.1523
BATUSDT,0.1441,-1.9727891156462452,1035.5832,nano_cap,38.888888888889014,1.4778986542939119,35.0,4.706081081081081,56.06060606060625,41,0.1486,0.1404
LOOMUSDT,0.00156,-3.105590062111807,1026.98975,nano_cap,0.0,2.862514207949447,40.0,0.0,0.0,7,0.00166,0.00156
XTZUSDT,0.7267,-4.28082191780822,1014.03216,nano_cap,34.707903780068705,1.2557888668428865,31.878416794226986,2.375683358845397,10.436893203883448,31,0.7636,0.7224
SANDUSDT,0.2506,-5.683101242002264,999.1941,nano_cap,30.98236775818637,1.2624023142587542,20.0,0.0,0.0,16,0.2675,0.2506
VOXELUSDT,0.0539,-3.2315978456014305,956.40644,nano_cap,48.14814814814815,2.5807887971804786,35.0,0.0,19.512195121951272,24,0.0572,0.0531
SUSHIUSDT,0.716,-6.036745406824151,952.1948,nano_cap,0.0,1.2226509971425708,25.0,0.0,0.0,8,0.769,0.716
EGLDUSDT,13.62,-0.7288629737609464,944.2096,nano_cap,50.0,2.122660170336641,55.0,5.841030838280006,0.0,16,13.69,13.62
MKRUSDT,1859.0,-0.32171581769436797,926.39417,nano_cap,49.071782178217816,1.3154217870809555,35.0,8.912644595133626,49.86876640419949,30,1916.3,1802.0
1000MOGUSDT,0.00118417,-5.076553106212412,919.37103869,nano_cap,44.63157894736841,1.7419603293478545,15.0,0.0,40.636604774535876,29,0.00126472,0.00113055
ASTRUSDT,0.02229,0.0,908.48406,nano_cap,50.0,2.4934729774017095,35.0,0.0,0.0,10,0.02567,0.02134
ROSEUSDT,0.02362,-1.0473397570171739,884.011332,nano_cap,39.88269794721408,1.6083138359404427,35.0,4.023899728314748,67.90697674418605,18,0.02431,0.02216
REEFUSDT,0.000357,0.0,877.825872,nano_cap,,3.118709062439776,20.0,0.0,50.0,8,0.000357,0.000357
ZRXUSDT,0.2304,-1.7064846416382284,844.7407,nano_cap,41.96078431372551,1.1632488542143826,35.0,4.855829050581553,66.1157024793389,51,0.2345,0.2224
KNCUSDT,0.4047,-1.8671193016488785,740.02386,nano_cap,43.27956989247312,2.44829186322505,44.94830132939438,2.989660265878877,27.519379844961232,14,0.4234,0.3976
ORBSUSDT,0.018,-0.11098779134296466,721.242,nano_cap,,2.512292919651865,25.0,0.0,0.0,7,0.018,0.018
OXTUSDT,0.0518,-0.766283524904221,707.385,nano_cap,0.0,1.051068601300199,25.0,0.0,0.0,4,0.0522,0.0518
COMPUSDT,44.33,1.5345854328905117,704.39994,nano_cap,65.45454545454544,1.2325545000605556,38.069170865781025,4.3112162330387145,57.446808510638206,27,45.53,42.71
EOSUSDT,0.4622,-3.102725366876302,700.41836,nano_cap,0.0,2.36766485449235,40.0,0.0,0.0,8,0.4791,0.4622
BNTUSDT,0.678,-2.7259684361549352,665.0643,nano_cap,4.761904761904788,1.2028745017203157,25.0,0.0,0.0,4,0.679,0.678
KSMUSDT,13.7,2.238805970149249,580.57521,nano_cap,38.461538461538446,1.5555707343951097,19.477611940298498,0.0,62.49999999999994,12,14.18,12.9
RLCUSDT,0.901,-11.66666666666667,575.8609,nano_cap,0.0,1.124445337617261,25.0,0.0,5.55555555555556,3,0.901,0.894
