symbol,base_asset,price,volume_24h_usdt,price_change_24h,rsi_14,volume_category,momentum_score,volatility,ai_prediction,ai_confidence,risk_score,sector,ecosystem_score,volume_rank,momentum_rank,performance_rank
BTCUSDT,BTC,113591.37,924638.2954548,-1.042,0.0,small_cap,6.070171876513144,0.01042,NEUTRAL,0.5,3.5606070308717137,layer1,7.5,1,3,55
ETHUSDT,ETH,3577.85,883465.262455,-2.453,0.0,small_cap,6.1914894778714205,0.02453,NEUTRAL,0.5,3.636102630532145,layer1,7.5,2,1,71
XRPUSDT,XRP,2.9487,643408.69896,-3.226,0.0,small_cap,6.131086928317252,0.03226,NEUTRAL,0.5,3.709178267920687,general,6.0,3,2,89
ADAUSDT,ADA,0.7193,255467.01958,-3.255,0.0,small_cap,5.732834841304665,0.032549999999999996,NEUTRAL,0.5,3.810916289673834,layer1,7.5,4,4,90
DOGEUSDT,DOGE,0.19767,249995.2257,-3.293,0.0,small_cap,5.7272317147842635,0.03293,NEUTRAL,0.5,3.815167071303934,meme,5.0,5,5,91
LTCUSDT,LTC,119.76,209543.11392,-0.167,0.0,small_cap,5.337973393465333,0.00167,NEUTRAL,0.5,3.678031651633667,general,6.0,6,12,46
SOLUSDT,SOL,163.02,188193.38538000002,-1.433,0.0,small_cap,5.417904354779601,0.01433,NEUTRAL,0.5,3.7529989113050997,layer1,7.5,7,10,59
USDCUSDT,USDC,1.0002,182723.5374,0.07,0.0,small_cap,5.268794494284831,0.0007000000000000001,NEUTRAL,0.5,3.6880513764287923,stablecoin,6.0,8,17,31
PENGUUSDT,PENGU,0.033382,157331.335538,-2.954,0.0,small_cap,5.492215229272491,0.02954,NEUTRAL,0.5,3.8484961926818775,general,6.0,9,8,81
BNBUSDT,BNB,748.55,125781.10214999998,-1.782,0.0,small_cap,5.277815395890748,0.01782,NEUTRAL,0.5,3.8141961510273132,stablecoin,6.0,10,15,62
HYPEUSDT,HYPE,38.46,121456.71846,0.444,0.0,small_cap,5.128821543096716,0.00444,NEUTRAL,0.5,3.751094614225821,general,6.0,11,21,27
XLMUSDT,XLM,0.3957,111213.4635,-4.328,0.0,small_cap,5.4789573661112945,0.043280000000000006,NEUTRAL,0.5,3.9548606584721764,general,6.0,12,9,119
ILVUSDT,ILV,18.93,87899.3727,7.618,0.0,micro_cap,5.70578577571199,0.07618,NEUTRAL,0.5,4.144903556072002,gaming,7.0,13,6,4
HBARUSDT,HBAR,0.23829,82661.13297,-4.474,0.0,micro_cap,5.364701353513402,0.04474,NEUTRAL,0.5,3.9943746616216496,general,6.0,14,11,122
VETUSDT,VET,0.02262,77232.30294000001,-3.867,0.0,micro_cap,5.27449898497721,0.03867,NEUTRAL,0.5,3.971400253755698,general,6.0,15,16,105
SHIBUSDT,SHIB,1.194e-05,76215.29876094,-3.554,0.0,micro_cap,5.23744215638641,0.035539999999999995,NEUTRAL,0.5,3.957189460903397,meme,5.0,16,18,97
FLOKIUSDT,FLOKI,0.00010212,67310.46068148,-7.349,0.0,micro_cap,5.562982562934402,0.07349,NEUTRAL,0.5,4.1604293592663995,meme,5.0,17,7,158
BONKUSDT,BONK,2.443e-05,46820.60275312,-6.506,0.0,micro_cap,5.3210370003616525,0.06506,NEUTRAL,0.5,4.157690749909587,meme,5.0,18,13,149
ROSEUSDT,ROSE,0.02501,46542.764662,-3.697,0.0,micro_cap,5.037552177012374,0.03697,NEUTRAL,0.5,4.017886955746906,general,6.0,19,24,102
APTUSDT,APT,4.305,46263.725549999996,1.128,0.0,micro_cap,4.778040602940832,0.011279999999999998,NEUTRAL,0.5,3.890089849264792,general,6.0,20,34,22
DGBUSDT,DGB,0.00814,44708.164489999996,-4.348,0.0,micro_cap,5.085186840115673,0.04348,NEUTRAL,0.5,4.0548032899710815,general,6.0,21,22,120
1000REKTUSDT,1000REKT,0.00118277,43984.99978902,5.682,0.0,micro_cap,5.211504594223648,0.05682,NEUTRAL,0.5,4.123273851444088,general,6.0,22,19,8
DOTUSDT,DOT,3.558,38608.3917,-4.303,0.0,micro_cap,5.0169817107055525,0.04303,NEUTRAL,0.5,4.0684795723236125,layer1,7.5,23,25,118
XDCUSDT,XDC,0.092936,30930.866584000003,-2.964,0.0,micro_cap,4.786792087716634,0.02964,NEUTRAL,0.5,4.025601978070841,general,6.0,24,33,82
SNXUSDT,SNX,0.573,30762.8802,-6.981,0.0,micro_cap,5.1861269942116035,0.06981,NEUTRAL,0.5,4.227043251447099,defi,8.0,25,20,153
RVNUSDT,RVN,0.01322,30693.751808,-3.15,0.0,micro_cap,4.802049977057577,0.0315,NEUTRAL,0.5,4.0357375057356055,general,6.0,26,32,87
PEPEUSDT,PEPE,1.006e-05,30348.86624454,-4.645,0.0,micro_cap,4.946642471591273,0.04645,NEUTRAL,0.5,4.111714382102181,meme,5.0,27,27,127
LINKUSDT,LINK,16.26,28503.292200000004,-3.559,0.0,micro_cap,4.8107950249810845,0.035590000000000004,NEUTRAL,0.5,4.064226243754729,general,6.0,28,31,98
SUIUSDT,SUI,3.3757,27939.993759999998,-4.129,0.0,micro_cap,4.859126304784681,0.04128999999999999,NEUTRAL,0.5,4.09489342380383,general,6.0,29,30,109
THETAUSDT,THETA,0.746,25753.2628,-3.493,0.0,micro_cap,4.76013225964003,0.034929999999999996,NEUTRAL,0.5,4.071941935089993,general,6.0,30,35,96
OPUSDT,OP,0.658,24969.5537,-6.0,0.0,micro_cap,4.997410779942078,0.06,NEUTRAL,0.5,4.20064730501448,general,6.0,31,26,144
BCHUSDT,BCH,543.4,23115.149199999996,-3.103,0.0,micro_cap,4.6741967009983085,0.031030000000000002,NEUTRAL,0.5,4.064175824750423,general,6.0,32,39,86
SPXUSDT,SPX,1.615,18453.1515,-4.228,0.0,micro_cap,4.688870547306945,0.04228,NEUTRAL,0.5,4.144882363173264,general,6.0,33,37,113
WIFUSDT,WIF,0.865,18334.4535,-6.486,0.0,micro_cap,4.911867969356802,0.06486,NEUTRAL,0.5,4.258483007660799,general,6.0,34,28,148
FETUSDT,FET,0.643,16374.8309,-2.28,0.0,micro_cap,4.442176823804212,0.022799999999999997,NEUTRAL,0.5,4.060455794048947,ai,8.5,35,47,69
AVAXUSDT,AVAX,21.66,16281.822000000002,-3.476,0.0,micro_cap,4.559303002535397,0.03476,NEUTRAL,0.5,4.1208742493661505,layer1,7.5,36,43,94
ONEUSDT,ONE,0.01014,16047.830682,-5.234,0.0,micro_cap,4.728816333531464,0.05234,NEUTRAL,0.5,4.210345916617134,general,6.0,37,36,136
IOTAUSDT,IOTA,0.1828,15822.6196,-3.485,0.0,micro_cap,4.547778387103653,0.03485,NEUTRAL,0.5,4.124430403224086,general,6.0,38,44,95
CRVUSDT,CRV,0.8877,15173.98872,-4.937,0.0,micro_cap,4.674799756883474,0.049370000000000004,NEUTRAL,0.5,4.201575060779132,defi,8.0,39,38,131
TRUMPUSDT,TRUMP,8.6,14069.316200000001,-3.587,0.0,micro_cap,4.506972990271752,0.03587,NEUTRAL,0.5,4.142281752432062,general,6.0,40,45,100
ATOMUSDT,ATOM,4.165,12716.328099999999,-3.297,0.0,micro_cap,4.434061724824777,0.03297,NEUTRAL,0.5,4.138759568793806,layer1,7.5,41,48,92
POLUSDT,POL,0.2104,11129.46568,0.718,0.0,micro_cap,4.118274314577491,0.00718,NEUTRAL,0.5,4.024281421355627,general,6.0,42,57,24
GRTUSDT,GRT,0.0879,11016.067500000001,-5.28,0.0,micro_cap,4.570026588358863,0.0528,NEUTRAL,0.5,4.253493352910284,general,6.0,43,42,137
ENAUSDT,ENA,0.5725,8788.212775,-4.567,0.0,nano_cap,4.400600563256408,0.04567,NEUTRAL,0.5,4.242374859185898,general,6.0,44,49,125
NEOUSDT,NEO,5.92,8009.5824,-1.661,0.0,nano_cap,4.069709873624384,0.01661,NEUTRAL,0.5,4.107147531593904,general,6.0,45,60,60
ZILUSDT,ZIL,0.01086,7989.860556,-2.688,0.0,nano_cap,4.17133919980358,0.02688,NEUTRAL,0.5,4.158765200049106,general,6.0,46,55,75
ALGOUSDT,ALGO,0.234,7789.158,-4.216,0.0,nano_cap,4.313090513421262,0.04216,NEUTRAL,0.5,4.237927371644685,layer1,7.5,47,51,111
MAGICUSDT,MAGIC,0.238,7119.8652,-11.852,0.0,nano_cap,5.0376717712421435,0.11852,NEUTRAL,0.5,4.629482057189464,gaming,8.5,48,23,167
QNTUSDT,QNT,104.01,6496.048560000001,-8.183,0.0,nano_cap,4.63094926273269,0.08183,NEUTRAL,0.5,4.455987684316828,general,6.0,49,40,161
RENDERUSDT,RENDER,3.5,5770.835,-4.632,0.0,nano_cap,4.224438657116853,0.04632,NEUTRAL,0.5,4.291290335720787,ai,8.5,50,53,126
AAVEUSDT,AAVE,252.31,5142.582420000001,-5.025,0.0,nano_cap,4.213681260845976,0.05025,NEUTRAL,0.5,4.323454684788506,defi,8.0,51,54,135
MKRUSDT,MKR,1845.5,4714.32975,-2.971,0.0,nano_cap,3.9705199565499583,0.02971,NEUTRAL,0.5,4.230195010862511,defi,8.0,52,69,83
LPTUSDT,LPT,6.141,4508.16951,-0.984,0.0,nano_cap,3.752400237425884,0.00984,NEUTRAL,0.5,4.135699940643529,general,6.0,53,78,54
BRETTUSDT,BRETT,0.052213,4464.942482,-4.029,0.0,nano_cap,4.052715868619659,0.04029,NEUTRAL,0.5,4.288996032845086,general,6.0,54,62,108
UNIUSDT,UNI,9.4,4402.02,-3.826,0.0,nano_cap,4.026252011381779,0.03826,NEUTRAL,0.5,4.280386997154555,defi,8.0,55,66,104
ONTUSDT,ONT,0.1315,4295.316,-4.155,0.0,nano_cap,4.048495119740717,0.041550000000000004,NEUTRAL,0.5,4.299501220064821,general,6.0,56,64,110
NEARUSDT,NEAR,2.419,4244.377399999999,-3.817,0.0,nano_cap,4.009513993384424,0.03817,NEUTRAL,0.5,4.283896501653894,layer1,7.5,57,67,103
GALAUSDT,GALA,0.01513,4233.05627,-2.763,0.0,nano_cap,3.9029540415871855,0.02763,NEUTRAL,0.5,4.231486489603203,gaming,7.0,58,72,77
VTHOUSDT,VTHO,0.001808,4105.937264,-3.625,0.0,nano_cap,3.975912309353432,0.03625,NEUTRAL,0.5,4.277896922661642,general,6.0,59,68,101
LDOUSDT,LDO,0.922,4065.6419800000003,-4.357,0.0,nano_cap,4.0448291320599505,0.043570000000000005,NEUTRAL,0.5,4.315567716985012,general,6.0,60,65,121
RENUSDT,REN,0.01154,3911.9446,17.039,0.0,nano_cap,5.296292695787174,0.17039,NEUTRAL,0.5,4.9538518260532065,general,6.0,61,14,1
JAMUSDT,JAM,0.000101,3523.039883,-0.98,0.0,nano_cap,3.6449175596923915,0.0098,NEUTRAL,0.5,4.162270610076902,general,6.0,62,85,53
TURBOUSDT,TURBO,0.004138,3520.54833,-5.611,0.0,nano_cap,4.107710310679053,0.05611,NEUTRAL,0.5,4.3938974223302365,general,6.0,63,58,138
ONDOUSDT,ONDO,0.9663,3504.48021,-1.869,0.0,nano_cap,3.731523611840732,0.01869,NEUTRAL,0.5,4.207294097039817,general,6.0,64,80,63
LRCUSDT,LRC,0.0834,3235.3362,-0.477,0.0,nano_cap,3.557619417066001,0.00477,NEUTRAL,0.5,4.1463701457335,defi,8.0,65,88,48
XTZUSDT,XTZ,0.7707,3179.83113,-0.785,0.0,nano_cap,3.5809040566962174,0.007850000000000001,NEUTRAL,0.5,4.163648985825946,general,6.0,66,86,51
ETCUSDT,ETC,19.99,3025.2866,-4.217,0.0,nano_cap,3.9024665237496654,0.04217,NEUTRAL,0.5,4.3406583690625835,general,6.0,67,73,112
NEIROUSDT,NEIRO,0.00038072,3002.9975296,0.0,0.0,nano_cap,3.477554974929075,0.0,NEUTRAL,0.5,4.1306112562677315,general,6.0,68,95,33
FILUSDT,FIL,2.312,2914.25288,-4.934,0.0,nano_cap,3.9579272343329146,0.04934,NEUTRAL,0.5,4.380568191416771,general,6.0,69,71,130
WAXPUSDT,WAXP,0.02027,2902.48157,-4.297,0.0,nano_cap,3.8924694707628205,0.042969999999999994,NEUTRAL,0.5,4.349157632309295,general,6.0,70,74,117
DASHUSDT,DASH,20.91,2896.4741099999997,-2.654,0.0,nano_cap,3.727269650931265,0.026539999999999998,NEUTRAL,0.5,4.267232587267183,general,6.0,71,81,73
REEFUSDT,REEF,0.000409,2538.888359,0.0,0.0,nano_cap,3.40464360432538,0.0,NEUTRAL,0.5,4.148839098918655,general,6.0,72,104,34
IMXUSDT,IMX,0.495,2506.08105,-4.255,0.0,nano_cap,3.824495112547417,0.04255,NEUTRAL,0.5,4.363001221863145,general,6.0,73,76,114
STMXUSDT,STMX,0.000121,2463.114478,12.037,0.0,nano_cap,4.595184596982559,0.12037,NEUTRAL,0.5,4.75397885075436,general,6.0,74,41,2
DAIUSDT,DAI,0.9806,2344.310614,-0.335,0.0,nano_cap,3.4035151538516093,0.00335,NEUTRAL,0.5,4.174246211537097,stablecoin,6.0,75,105,47
FARTCOINUSDT,FARTCOIN,0.9329,2342.6051899999998,-6.998,0.0,nano_cap,4.069499101122622,0.06998,NEUTRAL,0.5,4.507475224719344,general,6.0,76,61,155
SUSDT,S,0.2771,2261.1637100000003,-6.982,0.0,nano_cap,4.052532006739779,0.06982000000000001,NEUTRAL,0.5,4.5105169983150555,general,6.0,77,63,154
FTMUSDT,FTM,0.4806,2026.6902,0.021,0.0,nano_cap,3.3088873674827446,0.00021,NEUTRAL,0.5,4.174353158129314,general,6.0,78,114,32
JTOUSDT,JTO,1.643,1961.5777000000003,-1.084,0.0,nano_cap,3.4010055156329804,0.01084,NEUTRAL,0.5,4.231048621091754,general,6.0,79,106,56
DIAUSDT,DIA,0.74,1735.892,-1.779,0.0,nano_cap,3.417422701679703,0.01779,NEUTRAL,0.5,4.279069324580074,general,6.0,80,102,61
COMPUSDT,COMP,44.77,1715.04916,-3.388,0.0,nano_cap,3.5730765731314085,0.03388,NEUTRAL,0.5,4.360830856717149,defi,8.0,81,87,93
RAREUSDT,RARE,0.0631,1680.70636,-2.773,0.0,nano_cap,3.5027918434982364,0.02773,NEUTRAL,0.5,4.332277039125441,general,6.0,82,94,78
FLUXUSDT,FLUX,0.2128,1610.45976,-4.83,0.0,nano_cap,3.6899498777255433,0.0483,NEUTRAL,0.5,4.439762530568615,general,6.0,83,83,129
ALICEUSDT,ALICE,0.3806,1561.0727659999998,-9.381,0.0,nano_cap,4.131523147223681,0.09381,NEUTRAL,0.5,4.67069421319408,gaming,7.0,84,56,164
COTIUSDT,COTI,0.04975,1487.525,-9.049,0.0,nano_cap,4.0773642734061735,0.09049,NEUTRAL,0.5,4.659333931648456,general,6.0,85,59,163
KSMUSDT,KSM,13.17,1441.61454,-8.031,0.0,nano_cap,3.9619491539137908,0.08031,NEUTRAL,0.5,4.611837711521552,general,6.0,86,70,159
RLCUSDT,RLC,0.916,1427.2196,-2.657,0.0,nano_cap,3.420190801237062,0.02657,NEUTRAL,0.5,4.3442272996907345,general,6.0,87,101,74
KNCUSDT,KNC,0.414,1376.4672,-6.673,0.0,nano_cap,3.8060658669979825,0.06673,NEUTRAL,0.5,4.548958533250504,general,6.0,88,77,150
VIRTUALUSDT,VIRTUAL,1.2135,1371.37635,-6.003,0.0,nano_cap,3.7374566555908837,0.06003,NEUTRAL,0.5,4.51586083610228,general,6.0,89,79,145
AXSUSDT,AXS,2.278,1368.03012,-2.064,0.0,nano_cap,3.3424956593766355,0.020640000000000002,NEUTRAL,0.5,4.319176085155841,gaming,7.0,90,112,67
LTOUSDT,LTO,0.0127,1288.7578999999998,-13.605,0.0,nano_cap,4.47067134049595,0.13605,NEUTRAL,0.5,4.902707164876013,general,6.0,91,46,168
ARBUSDT,ARB,0.3817,1241.51742,-6.216,0.0,nano_cap,3.7155528176133368,0.06216,NEUTRAL,0.5,4.537311795596667,general,6.0,92,82,147
PAXGUSDT,PAXG,3397.99,1234.149968,0.592,0.0,nano_cap,3.1505679362916656,0.00592,NEUTRAL,0.5,4.256758015927084,general,6.0,93,126,26
ICPUSDT,ICP,5.034,1125.8037599999998,-3.006,0.0,nano_cap,3.352062694798979,0.030059999999999996,NEUTRAL,0.5,4.387434326300255,general,6.0,94,111,84
SYSUSDT,SYS,0.04378,1093.71196,4.238,0.0,nano_cap,3.4627029612537874,0.04238,NEUTRAL,0.5,4.452174259686553,general,6.0,95,98,10
MXCUSDT,MXC,0.00211,1080.66393,3.941,0.0,nano_cap,3.4277906559895603,0.03941,NEUTRAL,0.5,4.43862733600261,general,6.0,96,100,13
SLPUSDT,SLP,0.001703,1073.8862550000001,-4.754,0.0,nano_cap,3.50635828374539,0.04754,NEUTRAL,0.5,4.479960429063652,general,6.0,97,93,128
ALPINEUSDT,ALPINE,0.925,1070.82625,1.648,0.0,nano_cap,3.194519008845132,0.016479999999999998,NEUTRAL,0.5,4.324970247788717,general,6.0,98,123,18
KDAUSDT,KDA,0.3973,1062.304713,-4.998,0.0,nano_cap,3.526049108264324,0.049980000000000004,NEUTRAL,0.5,4.493337722933919,general,6.0,99,90,134
JUPUSDT,JUP,0.4641,1049.09805,-3.953,0.0,nano_cap,3.416116079789343,0.039529999999999996,NEUTRAL,0.5,4.442445980052665,general,6.0,100,103,106
ICXUSDT,ICX,0.1259,1033.68936,-4.549,0.0,nano_cap,3.4692900460045317,0.04549,NEUTRAL,0.5,4.473852488498867,general,6.0,101,97,124
BATUSDT,BAT,0.1512,995.9544,0.599,0.0,nano_cap,3.0581394546067013,0.00599,NEUTRAL,0.5,4.280390136348325,general,6.0,102,128,25
MANAUSDT,MANA,0.2719,987.8127,-3.066,0.0,nano_cap,3.301274605450215,0.03066,NEUTRAL,0.5,4.404631348637446,gaming,7.0,103,116,85
GLMUSDT,GLM,0.2387,971.4373899999999,6.849,0.0,nano_cap,3.6723148151738445,0.06849,NEUTRAL,0.5,4.595596296206539,general,6.0,104,84,5
ZRXUSDT,ZRX,0.2445,951.8385,-1.212,0.0,nano_cap,3.0997632671778015,0.012119999999999999,NEUTRAL,0.5,4.31595918320555,general,6.0,105,127,57
TLMUSDT,TLM,0.00404,902.59256,-19.522,0.0,nano_cap,4.907691749343376,0.19521999999999998,NEUTRAL,0.5,5.2372270626641555,general,6.0,106,29,171
OCEANUSDT,OCEAN,0.3019,880.9442,4.103,0.0,nano_cap,3.3552484005805305,0.04103,NEUTRAL,0.5,4.4689128998548675,ai,8.5,107,110,11
APEUSDT,APE,0.5701,874.151433,0.246,0.0,nano_cap,2.9661866738465785,0.00246,NEUTRAL,0.5,4.276903331538355,general,6.0,108,131,30
CLVUSDT,CLV,0.01869,862.0687739999998,5.772,0.0,nano_cap,3.512741914290208,0.05772,NEUTRAL,0.5,4.554714521427448,general,6.0,109,92,7
AXLUSDT,AXL,0.338,858.0806,-2.874,0.0,nano_cap,3.220928083293007,0.02874,NEUTRAL,0.5,4.410317979176749,general,6.0,110,121,80
ZECUSDT,ZEC,36.47,851.3921499999999,-2.434,0.0,nano_cap,3.173529641580606,0.02434,NEUTRAL,0.5,4.389167589604848,general,6.0,111,124,70
LOKAUSDT,LOKA,0.1907,849.51129,-14.138,0.0,nano_cap,4.3429691550145035,0.14138,NEUTRAL,0.5,4.9746077112463745,general,6.0,112,50,169
YFIUSDT,YFI,5287.0,849.14507,3.161,0.0,nano_cap,3.2450818925035305,0.03161,NEUTRAL,0.5,4.425804526874118,general,6.0,113,120,16
ASTRUSDT,ASTR,0.02322,791.5906980000001,-9.615,0.0,nano_cap,3.860000682160172,0.09615,NEUTRAL,0.5,4.7561248294599565,general,6.0,114,75,165
ENSUSDT,ENS,25.65,786.9419999999999,-3.571,0.0,nano_cap,3.2530427247247786,0.03571,NEUTRAL,0.5,4.4545643188188055,general,6.0,115,118,99
AUDIOUSDT,AUDIO,0.0616,751.4152799999999,-4.938,0.0,nano_cap,3.3696800221782723,0.04938,NEUTRAL,0.5,4.527929994455432,general,6.0,116,108,132
1000MOGUSDT,1000MOG,0.00119913,742.3538030100001,-5.993,0.0,nano_cap,3.4699109377230735,0.059930000000000004,NEUTRAL,0.5,4.581997265569231,general,6.0,117,96,143
CELRUSDT,CELR,0.00709,661.285718,-7.077,0.0,nano_cap,3.5280891432078834,0.07077,NEUTRAL,0.5,4.648752714198029,general,6.0,118,89,156
NMRUSDT,NMR,8.07,645.6,-4.947,0.0,nano_cap,3.304663521714014,0.04947,NEUTRAL,0.5,4.5448591195714965,ai,8.5,119,115,133
